,stars,text,title,review_date,rating,clean_text,sentiment
13,1.0 out of 5 stars,"









  
  
    
  Don't buy this product. If you store an mobile app data on sd card then it allows to access mobile, it frequently restart while using app stored on sd card. The SD card I received may be duplicate the reasons is On cover wrote made in Korea but when look to sd card its wrote made in Philippines and SD card adapter its written made in China. I test it 3 devices it shows same behavior, its frequently switching off mobile. Its not good for mobile. Also it increases the time of charging of mobile. From these things I reach to the conclusion its not original Samsung card. If you love your mobile and devices then don't use this card. I recommend Strontium card that best in use.

  
",Don't buy this SD card its duplicate.,Reviewed in India on 22 September 2017,1,do not buy this product if you store an mobile app datum on sd card then it allow to access mobile it frequently restart while use app store on sd card the sd card I receive may be duplicate the reason be on cover write make in Korea but when look to sd card its write make in Philippines and SD card adapter its write make in China I test it device it show same behavior its frequently switch off mobile Its not good for mobile also it increase the time of charging of mobile from these thing I reach to the conclusion its not original Samsung card if you love your mobile and device then do not use this card I recommend Strontium card that well in use,pos
14,5.0 out of 5 stars,"









  
  
    
  One of the best sd card ever used by me. I transferred a 4.58 gb file in it less then a minute. The best part is it have exactly 63.99 gb space available for storage. I ordered it for my sjcam 8pro for 4k recording and will write further review after using in it.

  
",Superb Samsung,Reviewed in India on 4 June 2019,5,of the good sd card ever use by me I transfer gb file in it less then minute the good part be it have exactly gb space available for storage I order it for my sjcam pro for recording and will write further review after use in it,pos
15,1.0 out of 5 stars,"









  
  
    
  20mbps write speed 80mbps read speed on my Lenovo p2 & my TV  & my pc & my laptop. It's not a 90\100mbps.i don't know why this problem for Samsung or retailer or Amazon.

  
",20mbps write speed 80mbps read speed on my Lenovo p2 ...,Reviewed in India on 13 July 2017,1,mbps write speed mbps read speed on my Lenovo my TV my pc my laptop It be not mbpsi do not know why this problem for Samsung or retailer or Amazon,neg
16,1.0 out of 5 stars,"









  
  
    
  Don't buying this item this is duplicate corrupted Samsung memory card don't buying this 64gb card I will return this card  and I have complaint c-s reply money  time west 1000 % guarantee.

  
",Duplicate corrupted Samsung 64gb 1000% cheating please don't buying.,Reviewed in India on 18 December 2018,1,do not buy this item this be duplicate corrupt Samsung memory card do not buy this gb card I will return this card and I have complaint reply money time west guarantee,neu
17,4.0 out of 5 stars,"









  
  
    
  It does exactly what it suppose to do. Gives you that extra storage place and this small chip can hold a whole lot of music, games, pictures, and movies.// Pros //1)  Speed is really good.2) 10 years warranty3) Waterproof, dust proof, weather proof4) Low price5) U3 - Can record 4K// Cons //1) Sometimes it is asking to format✔ Yes, I recommend this product.

  
",Good one..,Reviewed in India on 3 March 2018,4,It do exactly what it suppose to do give you that extra storage place and this small chip can hold whole lot of music game picture and pro speed be really good year warranty Waterproof dust proof weather proof low price Can record Cons sometimes it be ask to formata yes I recommend this product,pos
18,5.0 out of 5 stars,"









  
  
    
  This is a proper storage card, with no issues in data transfer and storage. Rate of data transmission is good, can be used as phones default storage with no loss in speed/efficiency.Durability is great, won't break on falling or under a bit pressure, water proof - just dry it out first before using. I bought the 64 gb variant at offer price, one gets about 61gb depending on the phone with which you are using. On offer price of Rs 949 should buy it.

  
",Users SD card,Reviewed in India on 22 November 2018,5,this be proper storage card with no issue in datum transfer and storage rate of datum transmission be good can be use as phone default storage with no loss in speed efficiency durability be great will not break on fall or under bit pressure water proof just dry it out first before use I buy the gb variant at offer price get about gb depend on the phone with which you be use on offer price of should buy it,pos
19,3.0 out of 5 stars,"









  
  
    
  First off the average user or photographer will have no trouble with this card, as it has great storage capacity. I've been using one for about a year now and it still performs well, although with a few hiccups here and there. However, this is not a fast card, and I cannot recommend it for any professional use. Using burst mode on my Nikon (shooting RAW) shows a considerable lag between the shots being taken and written to the card - so you'll be severely limited in your shooting capacity. It also takes a considerable amount of time to copy data on/off so the ""100MB/s"" sales pitch is just a gimmick.Occasionally, the card refuses to read on my camera, for no apparent reason.That being said this is a very affordable option for a bit of hobby photography or for storing your files, but I wouldn't trust its reliability and I certainly don't recommend it for professional work. Buy something like a Samsung Pro SDXC or PNY card for that instead.

  
","Decent, but avoid for professional work",Reviewed in India on 22 November 2018,3,first off the average user or photographer will have no trouble with this card as it have great storage capacity I have be use for about year now and it still perform well although with few hiccup here and there however this be not fast card and I can not recommend it for any professional use use burst mode on my Nikon shoot RAW show considerable lag between the shot be take and write to the card so you will be severely limit in your shooting capacity It also take considerable amount of time to copy datum on off so the MB sale pitch be just gimmick occasionally the card refuse to read on my camera for no apparent reason that be say this be very affordable option for bit of hobby photography or for store your file but I would not trust its reliability and I certainly do not recommend it for professional work buy something like Samsung Pro SDXC or PNY card for that instead,neg
20,1.0 out of 5 stars,"









  
  
    
  I purchased the best card available then, manufactured by a company like SAMSUNG. It just stopped working suddenly. The funniest part is, you can see the content on a laptop, but can't write, delete or even format (tried DOS formatting also). When inserted in the phone, it's not detected. Tried inserting in several phones, so no issue with the phone. Incidentally, the phone is also a high-end Samsung. Really frustrated with the quality. Samsung, please improve the quality of your products.

  
","Stopped working within a year, suddenly",Reviewed in India on 4 December 2018,1,I purchase the good card available then manufacture by company like SAMSUNG It just stop work suddenly the funniest part be you can see the content on laptop but can not write delete or even format try DOS format also when insert in the phone it be not detect try insert in several phone so no issue with the phone incidentally the phone be also high end Samsung really frustrated with the quality Samsung please improve the quality of your product,neg
21,5.0 out of 5 stars,"









  
  
    
  I have both SanDisk ultra and Samsung evo plus purchased on same date . Both in 32 gb variant . Speed test shows 70 Mbps read for Samsung and 56 Mbps for SanDisk ultra and 25 Mbps write for Samsung vs 14 Mbps write for SanDisk .Test done in single mobile device.  Both cards out of the box and nothing stored.  I was a SanDisk fan earlier.  But this changed my mind . Samsung is still leader in memory chip  manufacturing.. be it SSD  RAM  etc.

  
",Better than SanDisk ultra,Reviewed in India on 11 December 2017,5,I have both SanDisk ultra and Samsung evo plus purchase on same date both in gb variant speed test show Mbps read for Samsung and Mbps for SanDisk ultra and Mbps write for Samsung vs Mbps write for SanDisk Test do in single mobile device both card out of the box and nothing store I be SanDisk fan early but this change my mind Samsung be still leader in memory chip manufacturing be it SSD ram etc,pos
22,5.0 out of 5 stars,"









  
  
    
  Thank God it's working fine. Packaging is not perfect like other amazon sellers.I used this 64 gb memory card for my go pro hero 7 black and I have recorded 4k 30ps video on it.

  
",Original product.,Reviewed in India on 20 September 2019,5,thank God it be work fine packaging be not perfect like other amazon seller I use this gb memory card for my go pro hero black and I have record ps video on it,pos
23,5.0 out of 5 stars,"









  
  
    
  I purchased this two months ago. I have not faced any problems with this card while taking photos or shooting videos. I use this card on Samsung S7 Edge.

  
",Its great.,Reviewed in India on 22 May 2019,5,I purchase this month ago I have not face any problem with this card while take photo or shoot video I use this card on Samsung Edge,neu
24,5.0 out of 5 stars,"









  
  
    
  What can i say about this according to my experience this memory card/sd card is amazing some features of this is01-It is a branded company memory card (Samsung).02-It have a capacity of 59.9gb/64gb.03-Its speed was average.04-It colour was Red.05-Lower price ever in Samsung.06-It is usefull to store videos in 360p form/mode.you can store upto 1200 videos in 360p format.07-Samsung was giving five year guarantee on this memory card.08-Comfortable for mobile phone ie usefull when it has been used in mobile phone.09-Its speed goes upto 55-60mb/s.10-It is mostly durable memory card.11-At the time of transferring files it forces files to move fast.12-Most of the videos are able to store in it because they covers very less space.13-It is class 10 category memory card.All the features which customers desire in memory card/sd card all those are available in this memory card.So if anyone want a good one then he/she must try this, it is one of the best amongst all available in the market.

  
",My choice are always best trust it i am right....,Reviewed in India on 25 January 2019,5,what can say about this accord to my experience this memory card sd card be amazing some feature of this isIt be brand company memory card SamsungIt have capacity of gbgbits speed be averageit colour be RedLower price ever in SamsungIt be usefull to store video in form modeyou can store upto video in formatSamsung be give year guarantee on this memory cardcomfortable for mobile phone ie usefull when it have be use in mobile phoneIts speed go upto mb sit be mostly durable memory cardAt the time of transfer file it force file to move fastMost of the video be able to store in it because they cover very less spaceIt be class category memory card all the feature which customer desire in memory card sd card all those be available in this memory card so if anyone want good then he she must try this it be of the good amongst all available in the market,pos
25,5.0 out of 5 stars,"









  
  
    
  Like the fact that had no problems with the card,just popped it into my phone and it was good to go. Available storage about 63GB. Seems to be original Samsung, card made in Philippines,adapter made in China. It's a relatively new card manufactured in May '19.Smooth HD and 4K UHD video shooting with no stutter or lag. Slow motion vids also work fine. Haven't transferred any files so can't comment but rated read 100 Mb/s and 60 Mb/s write speed should be fast enough for most.Got this after my old Samsung Evo plus 32 GB filled up and expecting this to last for years also. Durable card as it is water/magnet/x-ray proof and can withstand very low or high temperatures. Comes with 10yr warranty and you can trust Samsung,leading manufacturer of storage devices. Though the mrp was 1899/-, got a deal at 700. Definitely good value. No wonder this card comes up top in most reviews.Only wish packaging was improved as it arrived in only a thin plastic cover, but no complaints as product is working fine.😃

  
",Just buy it already,Reviewed in India on 28 July 2017,5,like the fact that have no problem with the card just pop it into my phone and it be good to go available storage about GB seem to be original Samsung card make in Philippines adapter make in China It be relatively new card manufacture in May smooth hd and UHD video shoot with no stutter or lag slow motion vid also work fine have not transfer any file so can not comment but rate read Mb and Mb write speed should be fast enough for most get this after my old Samsung Evo plus GB fill up and expect this to last for year also durable card as it be water magnet ray proof and can withstand very low or high temperature come with yr warranty and you can trust Samsung lead manufacturer of storage device though the mrp be get deal at definitely good value no wonder this card come up top in most review only wish packaging be improve as it arrive in only thin plastic cover but no complaint as product be work fined,pos
26,5.0 out of 5 stars,"









  
  
    
  I originally wished to buy a 512GB Micro SD for my Tab but the price is too high right now so instead choose the 256GB card as I already have an identical card installed in my phone with 2yrs with no issues. As expected it is good and installed well.It gives available space as 238GB out of 256GB. If you want to buy a Micro SD card for your mobile device or Camera then this is the most reliable n fastest card out there right now.

  
",As Reliable as it was 2yrs ago🙂,Reviewed in India on 3 May 2019,5,I originally wish to buy GB Micro SD for my Tab but the price be too high right now so instead choose the GB card as I already have an identical card instal in my phone with yrs with no issue as expect it be good and instal well It give available space as GB out of GB if you want to buy Micro SD card for your mobile device or camera then this be the most reliable fast card out there right now,pos
27,5.0 out of 5 stars,"









  
  
    
  Good Micro sd card for daily use in the phone.Good for saving photos and running apps.Better than Sandisk and 10 Years warranty.Comes with Adaptor for PC use.Not good for 4k and High-resolution videos.Don't use in D_SLR using an adaptor, it will ruin your camera hardware.Wait for Deal, one can get it for Rs700-Rs750

  
",Best for HD Videos and Mobile apps/Data Storage!!,Reviewed in India on 4 October 2019,5,Good Micro sd card for daily use in the phone good for save photo and running app well than Sandisk and year warranty come with adaptor for pc use not good for and high resolution video dont use in DSLR use an adaptor it will ruin your camera hardware wait for Deal can get it for rsrs,pos
28,5.0 out of 5 stars,"









  
  
    
  I have been using it for the last one and half months. It works as expected. speed is very good and I have not noticed any lag whatsoever.The good:● Works as expected● Good value for money (if  you get it with some discount during prime day or lightning deal)The bad:● None!Overall I am very happy with this micro sd card.

  
",Great Micro SD card - Works as expected - Review after 45 days.,Reviewed in India on 16 October 2019,5,I have be use it for the last and half month It work as expect speed be very good and I have not notice any lag whatsoever the good work as expecteda good value for money if you get it with some discount during prime day or lightning dealthe bad noneoverall I be very happy with this micro sd card,pos
29,4.0 out of 5 stars,"









  
  
    
  I use this with my GoPro Hero 7 Backas a secondary option to my SanDisk Extreme (microSDXC, U3, C10, V30).This is a cheap alternative which helps me record 1080p HD videos at 100fpsflawlessly.I definitely recommend this.

  
",ALTERNATE / Secondary Card for daily usage,Reviewed in India on 13 August 2017,4,I use this with my GoPro Hero Backas secondary option to my SanDisk Extreme microSDXC vthis be cheap alternative which help me record hd video at fpsflawlessly I definitely recommend this,pos
30,5.0 out of 5 stars,"









  
  
    
  Go through my review once before buying this memory card.Using this memory card since a month now. Packaging has hologram so I'm relieved about genuineness. This card was my first choice as it supports 4K recording so I'm using it in both action camera and mobile.Performance : 95%Quality : 95%Features : 90%Value for money : 95%Overall Rating: 94%PERFORMANCE :I did benchmark tests & performance was considerable. Read & write speeds are not what Samsung advertised but it's acceptable as performance varies with many factors.BENCHMARK RESULT :Read : 84 MB/sWrite : 42 MB/s[ Check screenshots added with review ]HARDWARE :This memory card is Class 10 UHS - I U3 certified. It's water-proof, temperature proof, magnet proof and X-Ray proof as well so I'm not worried about any loss of data under such conditions.FINAL VERDICT :Samsung Evo Plus is an easy buy because it's fast enough for a smartphone or tablet and action camera as well. It comes with a full-size SD adapter, so don't worry about buying one separately and also it comes with 10 year warranty for peace of mind.I hope this helped you.

  
",ALL ROUNDER [ READ FULL REVIEW BEFORE BUYING ],Reviewed in India on 4 December 2018,5,go through my review once before buy this memory card use this memory card since month now packaging have hologram so I be relieve about genuineness this card be my first choice as it support record so I be use it in both action camera and mobile performance quality features value for money overall rating performance I do benchmark test performance be considerable read write speed be not what Samsung advertise but it be acceptable as performance vary with many factor BENCHMARK result Read mb sWrite mb check screenshot add with review hardware this memory card be Class UHS I certify It be water proof temperature proof magnet proof and Ray proof as well so I be not worried about any loss of datum under such condition final verdict Samsung Evo Plus be an easy buy because it be fast enough for smartphone or tablet and action camera as well It come with full size sd adapter so do not worry about buy separately and also it come with year warranty for peace of mind I hope this help you,pos
31,4.0 out of 5 stars,"









  
  
    
  Beast of a deal! Functionally no issues. Works like a charm. Gives very good read/write speeds in my Redmi Note 4.Though it appears to be of the standard microSD card dimensions, it was not a perfect fit in the Redmi Note 4 tray. I was not able to slot it perfectly onto the tray. However, the tray can be closed despite the ill-fitting card, so am able to use it.Would have given full 5 stars if not for the tolerance issue with slotting-in onto the card tray.

  
",Works like a charm,Reviewed in India on 11 December 2017,4,Beast of deal functionally no issue work like charm give very good read write speed in my Redmi note though it appear to be of the standard microSD card dimension it be not perfect fit in the Redmi Note tray I be not able to slot it perfectly onto the tray however the tray can be close despite the ill fitting card so be able to use it Would have give full star if not for the tolerance issue with slotting in onto the card tray,pos
32,5.0 out of 5 stars,"









  
  
    
  quite a fast card, using in nintendo switch no lags1. this is U3, faster than U1, 2 and regular C10 cards2. reliable as per other cards in different capacity owned by me3. well packed4. comes with adaptor

  
",Using in nintendo switch,Reviewed in India on 18 July 2019,5,quite fast card use in nintendo switch no lags this be fast than and regular cards reliable as per other card in different capacity own by me well packed come with adaptor,pos
33,4.0 out of 5 stars,"









  
  
    
  The product from samsung is very good .It gives you good read and write speed . In my test it gave me around 30mb write speed. I have booked this product one from amazon and one from flipkart at the rate of Rs. 500/= on offer period.Both the product are original and good read and write speed.I am happy with my purchase and ordered one more from flipkart because the courier service of flipkart is better than amazon. They always deliver the product at home . But amazon courier boy always left the product here and there and they dont mind to inform us where they left our product and later  We have to search for it asking everyone. Especially this things happen when we order on prepaid. So, I prefer cash on delivery than prepaid. That is the only minus point, otherwise every thing is fine.

  
",Value for money Product.....,Reviewed in India on 6 October 2017,4,the product from samsung be very good It give you good read and write speed in my test it give me around mb write speed I have book this product from amazon and from flipkart at the rate of on offer period both the product be original and good read and write speed I be happy with my purchase and order more from flipkart because the courier service of flipkart be well than amazon They always deliver the product at home but amazon courier boy always leave the product here and there and they do not mind to inform us where they leave our product and later We have to search for it ask everyone especially this thing happen when we order on prepay so I prefer cash on delivery than prepay that be the only minus point otherwise every thing be fine,pos
34,5.0 out of 5 stars,"









  
  
    
  Hi what is card like a year ago and it's still working great. I would recommend this card for Samsung phones. I mean if you have a Samsung phone then you should definitely have a Samsung card. they work great together.

  
",The Best for Samsung,Reviewed in India on 17 May 2019,5,hi what be card like year ago and it be still work great I would recommend this card for samsung phone I mean if you have Samsung phone then you should definitely have Samsung card they work great together,pos
35,1.0 out of 5 stars,"









  
  
    
  When buying storage solution better buy it from renounce brands, samsung might good for Mobile ,but with storage solution they r worst. Not even last 6 month. Where other SD cards which bought years back working fine without any issue. Biggest issue is heating and at last chip died with all my important data.

  
","No value for money, can't relay on samsung",Reviewed in India on 29 October 2018,1,when buy storage solution well buy it from renounce brand samsung may good for Mobile but with storage solution they worst not even last month where other SD card which buy year back work fine without any issue big issue be heat and at last chip die with all my important datum,neg
